m6,m5,m4,m3,m2,m1,n
19.928,19.734,19.539,19.524,20.21,20.424,21.357
19.734,19.539,19.524,20.21,20.424,21.357,21.359
19.539,19.524,20.21,20.424,21.357,21.359,21.802
19.524,20.21,20.424,21.357,21.359,21.802,22.947
20.21,20.424,21.357,21.359,21.802,22.947,23.333
20.424,21.357,21.359,21.802,22.947,23.333,23.174
21.357,21.359,21.802,22.947,23.333,23.174,23.073
21.359,21.802,22.947,23.333,23.174,23.073,22.964
21.802,22.947,23.333,23.174,23.073,22.964,23.04
22.947,23.333,23.174,23.073,22.964,23.04,23.742
23.333,23.174,23.073,22.964,23.04,23.742,24.019
23.174,23.073,22.964,23.04,23.742,24.019,24.665
23.073,22.964,23.04,23.742,24.019,24.665,24.405
22.964,23.04,23.742,24.019,24.665,24.405,24.122
23.04,23.742,24.019,24.665,24.405,24.122,23.495
23.742,24.019,24.665,24.405,24.122,23.495,24.429
24.019,24.665,24.405,24.122,23.495,24.429,24.412
24.665,24.405,24.122,23.495,24.429,24.412,23.399
24.405,24.122,23.495,24.429,24.412,23.399,23.234
24.122,23.495,24.429,24.412,23.399,23.234,23.87
23.495,24.429,24.412,23.399,23.234,23.87,23.697
24.429,24.412,23.399,23.234,23.87,23.697,22.996
24.412,23.399,23.234,23.87,23.697,22.996,23.151
23.399,23.234,23.87,23.697,22.996,23.151,22.129
23.234,23.87,23.697,22.996,23.151,22.129,21.7
23.87,23.697,22.996,23.151,22.129,21.7,21.99
23.697,22.996,23.151,22.129,21.7,21.99,21.763
22.996,23.151,22.129,21.7,21.99,21.763,21.543
23.151,22.129,21.7,21.99,21.763,21.543,23.271
22.129,21.7,21.99,21.763,21.543,23.271,21.91
21.7,21.99,21.763,21.543,23.271,21.91,21.846
21.99,21.763,21.543,23.271,21.91,21.846,21.569
21.763,21.543,23.271,21.91,21.846,21.569,21.867
21.543,23.271,21.91,21.846,21.569,21.867,21.746
23.271,21.91,21.846,21.569,21.867,21.746,21.831
21.91,21.846,21.569,21.867,21.746,21.831,21.708
21.846,21.569,21.867,21.746,21.831,21.708,21.175
21.569,21.867,21.746,21.831,21.708,21.175,21.897
21.867,21.746,21.831,21.708,21.175,21.897,21.786
21.746,21.831,21.708,21.175,21.897,21.786,21.752
21.831,21.708,21.175,21.897,21.786,21.752,22.386
21.708,21.175,21.897,21.786,21.752,22.386,22.443
21.175,21.897,21.786,21.752,22.386,22.443,21.891
21.897,21.786,21.752,22.386,22.443,21.891,21.896
